timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698750196523,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-1,text,false,,865,0,1,1,null,0,0,0
1698750196529,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-1,text,false,,865,0,1,1,null,0,0,0
1698750197530,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-2,text,false,,865,0,1,1,null,0,0,0
1698750197531,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-2,text,false,,865,0,1,1,null,0,0,0
1698750198523,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-3,text,false,,865,0,1,1,null,0,0,0
1698750198524,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-3,text,false,,865,0,1,1,null,0,0,0
1698750199523,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-4,text,false,,865,0,1,1,null,0,0,0
1698750199524,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-4,text,false,,865,0,1,1,null,0,0,0
1698750200530,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-5,text,false,,865,0,1,1,null,0,0,0
1698750200531,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-5,text,false,,865,0,1,1,null,0,0,0
1698750201530,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-6,text,false,,865,0,1,1,null,0,0,0
1698750201531,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-6,text,false,,865,0,1,1,null,0,0,0
1698750202531,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-7,text,false,,865,0,1,1,null,0,0,0
1698750202532,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-7,text,false,,865,0,1,1,null,0,0,0
1698750203530,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-8,text,false,,865,0,1,1,null,0,0,0
1698750203532,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-8,text,false,,865,0,1,1,null,0,0,0
1698750204530,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: unknown protocol: https://,AssignmentThreadOne 1-9,text,false,,865,0,1,1,null,0,0,0
